"linea","estacion","lat","long"
"A","Acoyte",-34.6182799671446,-58.4364285288493
"A","Carabobo",-34.6266665931803,-58.4567097975238
"A","Castro Barros",-34.6117702291255,-58.4218156713706
"A","Congreso",-34.6092256843174,-58.3926688246648
"A","Lima",-34.6090998065519,-58.3822324010181
"A","Loria",-34.6107816904504,-58.4151857088376
"A","Peru",-34.6085590738533,-58.3742677264304
"A","Piedras",-34.608881721215,-58.3790851530908
"A","Plaza De Mayo",-34.6088103091689,-58.3709684989674
"A","Plaza Miserere",-34.6098172456706,-58.4067071165088
"A","Primera Junta",-34.6204052128589,-58.4411776251109
"A","Puan",-34.6235289528893,-58.4486476540264
"A","Saenz Peña",-34.6094125865027,-58.3867771940873
"A","San Jose De Flores",-34.629087226797,-58.4635405106286
"A","San Pedrito",-34.630707087006,-58.4696396292247
"B","Angel Gallardo",-34.6021622293427,-58.4312738603246
"B","Callao",-34.6044195428608,-58.3923142350887
"B","Carlos Gardel",-34.6040795173475,-58.4117625996321
"B","Carlos Pellegrini",-34.6036371051817,-58.3807148471409
"B","Dorrego",-34.5917181536198,-58.4475730925312
"B","Echeverria",-34.5777973775423,-58.4810135036721
"B","Federico Lacroze",-34.5871978529904,-58.455029286281
"B","Florida",-34.6032972855775,-58.3750715182636
"B","Juan Manuel De Rosas",-34.5743189142748,-58.4863853478891
"B","Leandro Alem",-34.6029894966332,-58.3699298501224
"B","Los Incas",-34.5812488459579,-58.4742408261771
"B","Malabia",-34.5989673641588,-58.4397714984155
"B","Medrano",-34.6031649010973,-58.4209624702706
"B","Pasteur",-34.6046429679193,-58.399474256679
"B","Pueyrredon",-34.6045810553512,-58.4053994398434
"B","Tronador",-34.5840946201161,-58.4662272046921
"B","Uruguay",-34.6040935531057,-58.3872961335408
"C","Avenida De Mayo",-34.6089833148827,-58.3806107179579
"C","Constitucion",-34.6276194522548,-58.3814344339343
"C","Diagonal Norte",-34.604843739914,-58.3795299800739
"C","Independencia",-34.6181255992933,-58.3801736104752
"C","Lavalle",-34.6017699230114,-58.3781557828244
"C","Moreno",-34.6126172798037,-58.38044446966
"C","Retiro",-34.5911938083332,-58.3740182164816
"C","San Juan",-34.6219167322081,-58.3799211788651
"C","General San Martin",-34.5950574047792,-58.3778190509867
"D","9 De Julio",-34.6042452029629,-58.3805743428896
"D","Agüero",-34.5916278437199,-58.4071613201899
"D","Bulnes",-34.5882371084182,-58.4112939013936
"D","Callao",-34.6044195428608,-58.3923142350887
"D","Ministro Carranza",-34.5751783641113,-58.4350135337338
"D","Catedral",-34.6078023364289,-58.3739558069511
"D","Congreso De Tucuman",-34.5556417664261,-58.4623784082243
"D","Facultad De Medicina",-34.5997570807639,-58.3979237555734
"D","Jose Hernandez",-34.5662152421589,-58.4521256033889
"D","Juramento",-34.5623090869974,-58.456489134589
"D","Olleros",-34.5700123078257,-58.4446681483349
"D","Palermo",-34.5784220227904,-58.4257114411123
"D","Plaza Italia",-34.5814111936045,-58.4211960101264
"D","Pueyrredon",-34.6045810553512,-58.4053994398434
"D","Tribunales",-34.6015871651394,-58.3851423588013
"E","Avenida La Plata",-34.627015467002,-58.4267890228972
"E","Belgrano",-34.6128491058186,-58.3775808865406
"E","Boedo",-34.6253661058926,-58.4155328189678
"E","Bolivar",-34.6092424288608,-58.3736842241685
"E","Catalinas",-34.596657340233,-58.3717721700668
"E","Correo Central",-34.6033293842467,-58.3704042434692
"E","Emilio Mitre",-34.6310418421655,-58.4421707059652
"E","Entre Rios",-34.6227196661278,-58.3915116999715
"E","Independencia",-34.6181255992933,-58.3801736104752
"E","Jose Maria Moreno",-34.6280175487742,-58.4338162502395
"E","Jujuy",-34.6238657115835,-58.4029365802561
"E","Medalla Milagrosa",-34.6363891893858,-58.4502782563709
"E","Pichincha",-34.6231098657791,-58.3970680746626
"E","Retiro",-34.5911938083332,-58.3740182164816
"E","San Jose",-34.6223394919367,-58.3851485496238
"E","Urquiza",-34.6246537864662,-58.4093907834436
"E","Varela",-34.640137352298,-58.4578917557731
"H","Caseros",-34.635750180343,-58.3989275853601
"H","Cordoba",-34.5984551117734,-58.4037214964387
"H","Corrientes",-34.6044902016081,-58.4054503284842
"H","Facultad De Derecho",-34.5834397237767,-58.3913254737854
"H","Hospitales",-34.6412689433909,-58.4123851512005
"H","Humberto I",-34.6230923205019,-58.402322730424
"H","Inclan",-34.6293756575728,-58.4009695560165
"H","Las Heras",-34.5874615464262,-58.3972155751019
"H","Once",-34.6089352416215,-58.4060363810352
"H","Parque Patricios",-34.6384059882851,-58.4057948259686
"H","Santa Fe",-34.5945253962188,-58.4023761750349
"H","Venezuela",-34.6152421522706,-58.40473171649
"H","Inclan - Mezquita Al Ahmad",-34.6293756575728,-58.4009695560165
"H","Once - 30 De Diciembre",-34.6089352416215,-58.4060363810352
"D","Tribunales - Teatro Colon",-34.6015871651394,-58.3851423588013
"D","Scalabrini Ortiz",-34.5851559440493,-58.4159554190067
"C","Av. De Mayo",-34.6089833148827,-58.3806107179579
"B","C. Pellegrini",-34.6036371051817,-58.3807148471409
"B","Callao - Maestro Alfredo Bravo",-34.6044195428608,-58.3923142350887
"B","Pasteur - Amia",-34.6046429679193,-58.399474256679
"B","Almagro - Medrano",-34.6031649010973,-58.4209624702706
"B","Malabia - Osvaldo Pugliese",-34.5989673641588,-58.4397714984155
"A","Congreso - Pdte. Dr. Raul R. Alfonsin",-34.6092256843174,-58.3926688246648
"A","Pasco",-34.6096459617052,-58.3984269918123
"A","Alberti",-34.6098335784398,-58.401207534233
"A","Plaza De Miserere",-34.6098172456706,-58.4067071165088
"A","Rio De Janeiro",-34.6152056103312,-58.4295003232997
"E","Entre Rios - Rodolfo Walsh",-34.6227196661278,-58.3915116999715
"E","Av. La Plata",-34.627015467002,-58.4267890228972
"E","Pza. De Los Virreyes",-34.6433121624098,-58.4616517616898
"B","Leandro N. Alem",-34.6029894966332,-58.3699298501224
"B","Tronador - Villa Ortuzar",-34.5840946201161,-58.4662272046921
"B","De Los Incas -Pque. Chas",-34.5812488459579,-58.4742408261771
"B","Juan Manuel De Rosas - Villa Urquiza",-34.5743189142748,-58.4863853478891
"H","Santa Fe - Carlos Jauregui",-34.5945253962188,-58.4023761750349
"H","Facultad De Derecho - Julieta Lanteri",-34.5830363400093,-58.39101882656
